diff	diff_fill	dir	dir_reverse	bin	bin_reverse	dec	dec_reverse
	1223	0	1	01111	11110	15	62
	1223	1	0	00110	01100	38	12
	1223	0	1	01100	00110	12	38
	1223	1	0	00110	01100	38	12
	1223	0	1	01100	00110	12	38
	1223	1	0	00000	00000	32	0
	1223	0	1	10000	00001	16	33
1230	1230	0	1	00111	11100	7	60
	1230	1	0	00010	01000	34	8
	1230	0	1	11110	01111	30	47
	1230	1	0	01100	00110	44	6
	1230	0	1	11000	00011	24	35
	1230	1	0	01100	00110	44	6
	1230	0	1	11000	00011	24	35
	1230	1	0	01111	11110	47	30
1231	1231	0	1	00110	01100	6	44
	1231	1	0	00010	01000	34	8
	1231	0	1	11110	01111	30	47
	1231	1	0	01100	00110	44	6
	1231	0	1	11000	00011	24	35
	1231	1	0	01100	00110	44	6
	1231	0	1	11000	00011	24	35
	1231	1	0	01111	11110	47	30
1232	1232	0	1	00110	01100	6	44
	1232	1	0	00011	11000	35	24
	1232	0	1	11110	01111	30	47
	1232	1	0	01100	00110	44	6
	1232	0	1	11000	00011	24	35
	1232	1	0	01100	00110	44	6
	1232	0	1	11000	00011	24	35
	1232	1	0	01111	11110	47	30
1233	1233	0	1	00110	01100	6	44
	1233	1	0	00011	11000	35	24
	1233	0	1	11110	01111	30	47
	1233	1	0	01111	11110	47	30
	1233	0	1	11110	01111	30	47
	1233	1	0	01100	00110	44	6
	1233	0	1	11000	00011	24	35
	1233	1	0	01100	00110	44	6
	1233	0	1	11000	00011	24	35
1300	1300	0	1	01111	11110	15	62
	1300	1	0	00100	00100	36	4
	1300	0	1	01100	00110	12	38
	1300	1	0	00000	00000	32	0
	1300	0	1	10000	00001	16	33
1301	1301	0	1	01110	01110	14	46
	1301	1	0	00100	00100	36	4
	1301	0	1	01100	00110	12	38
	1301	1	0	00000	00000	32	0
	1301	0	1	10000	00001	16	33
1302	1302	0	1	01110	01110	14	46
	1302	1	0	00111	11100	39	28
	1302	0	1	01110	01110	14	46
	1302	1	0	00000	00000	32	0
	1302	0	1	10000	00001	16	33
1303	1303	0	1	00011	11000	3	56
	1303	1	0	00001	10000	33	16
	1303	0	1	01111	11110	15	62
	1303	1	0	00100	00100	36	4
	1303	0	1	01100	00110	12	38
	1303	1	0	00000	00000	32	0
	1303	0	1	10000	00001	16	33
1310	1310	0	1	01111	11110	15	62
	1310	1	0	00110	01100	38	12
	1310	0	1	01100	00110	12	38
	1310	1	0	00000	00000	32	0
	1310	0	1	10000	00001	16	33
1311	1311	0	1	01110	01110	14	46
	1311	1	0	00110	01100	38	12
	1311	0	1	01100	00110	12	38
	1311	1	0	00000	00000	32	0
	1311	0	1	10000	00001	16	33
1312	1312	0	1	00010	01000	2	40
	1312	1	0	00011	11000	35	24
	1312	0	1	01110	01110	14	46
	1312	1	0	00110	01100	38	12
	1312	0	1	01100	00110	12	38
	1312	1	0	00000	00000	32	0
	1312	0	1	10000	00001	16	33
1313	1313	0	1	00011	11000	3	56
	1313	1	0	00001	10000	33	16
	1313	0	1	01111	11110	15	62
	1313	1	0	00110	01100	38	12
	1313	0	1	01100	00110	12	38
	1313	1	0	00000	00000	32	0
	1313	0	1	10000	00001	16	33
1320	1320	0	1	01111	11110	15	62
	1320	1	0	00110	01100	38	12
	1320	0	1	00100	00100	4	36
	1320	1	0	00110	01100	38	12
	1320	0	1	01100	00110	12	38
	1320	1	0	00000	00000	32	0
	1320	0	1	10000	00001	16	33
1321	1321	0	1	01110	01110	14	46
	1321	1	0	00110	01100	38	12
	1321	0	1	00100	00100	4	36
	1321	1	0	00110	01100	38	12
	1321	0	1	01100	00110	12	38
	1321	1	0	00000	00000	32	0
	1321	0	1	10000	00001	16	33
1322	1322	0	1	11110	01111	30	47
	1322	1	0	01111	11110	47	30
	1322	0	1	11110	01111	30	47
	1322	1	0	01110	01110	46	14
	1322	0	1	11100	00111	28	39
	1322	1	0	01110	01110	46	14
	1322	0	1	01100	00110	12	38
	1322	1	0	10111	11101	55	29
1323	1323	0	1	11110	01111	30	47
	1323	1	0	01111	11110	47	30
	1323	0	1	11110	01111	30	47
	1323	1	0	01110	01110	46	14
	1323	0	1	11100	00111	28	39
	1323	1	0	01110	01110	46	14
	1323	0	1	01100	00110	12	38
	1323	1	0	00111	11100	39	28
	1323	0	1	11110	01111	30	47
1330	1330	0	1	00111	11100	7	60
	1330	1	0	00010	01000	34	8
	1330	0	1	01110	01110	14	46
	1330	1	0	00100	00100	36	4
	1330	0	1	01100	00110	12	38
	1330	1	0	00000	00000	32	0
	1330	0	1	10000	00001	16	33
1331	1331	0	1	00110	01100	6	44
	1331	1	0	00010	01000	34	8
	1331	0	1	01110	01110	14	46
